"land_id","study","barrel","bullet","land","source","H173_B1_index","damaged","cc","cc_pred","cc_manual","groove_left","groove_right"
"Hamby173-Br2-B1-L5","Hamby173","2","1",5,"NBTRD/Hamby 173 (2009) Barrel/bullets/br2_1_land5.x3p","Hamby173-Br2-B1-L5",FALSE,175,175,FALSE,353.484491871864,2278.125
"Hamby173-Br2-B1-L6","Hamby173","2","1",6,"NBTRD/Hamby 173 (2009) Barrel/bullets/br2_1_land6.x3p","Hamby173-Br2-B1-L6",FALSE,0,0,FALSE,314.0625,2162.35203931924
"Hamby173-Br2-B2-L1","Hamby173","2","2",1,"NBTRD/Hamby 173 (2009) Barrel/bullets/br2_2_land1.x3p","Hamby173-Br2-B1-L5",FALSE,131.25,25,TRUE,304.6875,2253.125
"Hamby173-Br2-B2-L2","Hamby173","2","2",2,"NBTRD/Hamby 173 (2009) Barrel/bullets/br2_2_land2.x3p","Hamby173-Br2-B1-L6",FALSE,25,25,FALSE,267.1875,2221.875
"Hamby173-Br2-B2-L3","Hamby173","2","2",3,"NBTRD/Hamby 173 (2009) Barrel/bullets/br2_2_land3.x3p","Hamby173-Br2-B1-L1",FALSE,0,0,FALSE,321.875,2300
"Hamby173-Br2-B2-L4","Hamby173","2","2",4,"NBTRD/Hamby 173 (2009) Barrel/bullets/br2_2_land4.x3p","Hamby173-Br2-B1-L2",FALSE,0,0,FALSE,298.4375,2264.0625
"Hamby173-Br2-B2-L5","Hamby173","2","2",5,"NBTRD/Hamby 173 (2009) Barrel/bullets/br2_2_land5.x3p","Hamby173-Br2-B1-L3",FALSE,0,0,FALSE,315.625,2273.4375
"Hamby173-Br2-B2-L6","Hamby173","2","2",6,"NBTRD/Hamby 173 (2009) Barrel/bullets/br2_2_land6.x3p","Hamby173-Br2-B1-L4",FALSE,0,0,FALSE,307.8125,2262.5
"Hamby173-Br3-B1-L1","Hamby173","3","1",1,"NBTRD/Hamby 173 (2009) Barrel/bullets/br3_1_land1.x3p","Hamby173-Br3-B1-L1",FALSE,0,0,FALSE,262.5,2225
"Hamby173-Br3-B1-L2","Hamby173","3","1",2,"NBTRD/Hamby 173 (2009) Barrel/bullets/br3_1_land2.x3p","Hamby173-Br3-B1-L2",FALSE,0,0,FALSE,365.625,2207.38243089488
"Hamby173-Br3-B1-L3","Hamby173","3","1",3,"NBTRD/Hamby 173 (2009) Barrel/bullets/br3_1_land3.x3p","Hamby173-Br3-B1-L3",FALSE,0,0,FALSE,262.5,2183.6572231005
"Hamby173-Br3-B1-L4","Hamby173","3","1",4,"NBTRD/Hamby 173 (2009) Barrel/bullets/br3_1_land4.x3p","Hamby173-Br3-B1-L4",FALSE,0,0,FALSE,156.04580458944,2077.47375855662
"Hamby173-Br3-B1-L5","Hamby173","3","1",5,"NBTRD/Hamby 173 (2009) Barrel/bullets/br3_1_land5.x3p","Hamby173-Br3-B1-L5",FALSE,0,0,FALSE,254.6875,2206.74186727507
"Hamby173-Br3-B1-L6","Hamby173","3","1",6,"NBTRD/Hamby 173 (2009) Barrel/bullets/br3_1_land6.x3p","Hamby173-Br3-B1-L6",FALSE,0,0,FALSE,287.5,2271.875
"Hamby173-Br3-B2-L1","Hamby173","3","2",1,"NBTRD/Hamby 173 (2009) Barrel/bullets/br3_2_land1.x3p","Hamby173-Br3-B1-L6",TRUE,25,25,FALSE,306.25,2076.11640677397
"Hamby173-Br3-B2-L2","Hamby173","3","2",2,"NBTRD/Hamby 173 (2009) Barrel/bullets/br3_2_land2.x3p","Hamby173-Br3-B1-L1",FALSE,25,25,FALSE,360.9375,2306.25
"Hamby173-Br3-B2-L3","Hamby173","3","2",3,"NBTRD/Hamby 173 (2009) Barrel/bullets/br3_2_land3.x3p","Hamby173-Br3-B1-L2",FALSE,25,25,FALSE,385.9375,2368.75
"Hamby173-Br3-B2-L4","Hamby173","3","2",4,"NBTRD/Hamby 173 (2009) Barrel/bullets/br3_2_land4.x3p","Hamby173-Br3-B1-L3",TRUE,0,0,FALSE,51.5625,2104.47188341689
"Hamby173-Br3-B2-L5","Hamby173","3","2",5,"NBTRD/Hamby 173 (2009) Barrel/bullets/br3_2_land5.x3p","Hamby173-Br3-B1-L4",FALSE,0,0,FALSE,214.0625,2148.4375
"Hamby173-Br3-B2-L6","Hamby173","3","2",6,"NBTRD/Hamby 173 (2009) Barrel/bullets/br3_2_land6.x3p","Hamby173-Br3-B1-L5",FALSE,0,0,FALSE,273.4375,2228.41357210724
"Hamby173-Br4-B1-L1","Hamby173","4","1",1,"NBTRD/Hamby 173 (2009) Barrel/bullets/br4_1_land1.x3p","Hamby173-Br4-B1-L1",FALSE,25,25,FALSE,273.4375,2231.25
"Hamby173-Br4-B1-L2","Hamby173","4","1",2,"NBTRD/Hamby 173 (2009) Barrel/bullets/br4_1_land2.x3p","Hamby173-Br4-B1-L2",FALSE,25,25,FALSE,320.3125,2265.74719590691
"Hamby173-Br4-B1-L3","Hamby173","4","1",3,"NBTRD/Hamby 173 (2009) Barrel/bullets/br4_1_land3.x3p","Hamby173-Br4-B1-L3",FALSE,50,50,FALSE,296.875,2256.25
"Hamby173-Br4-B1-L4","Hamby173","4","1",4,"NBTRD/Hamby 173 (2009) Barrel/bullets/br4_1_land4.x3p","Hamby173-Br4-B1-L4",FALSE,48.4375,0,TRUE,276.5625,2229.6875
"Hamby173-Br4-B1-L5","Hamby173","4","1",5,"NBTRD/Hamby 173 (2009) Barrel/bullets/br4_1_land5.x3p","Hamby173-Br4-B1-L5",FALSE,25,25,FALSE,168.75,2120.3125
"Hamby173-Br4-B1-L6","Hamby173","4","1",6,"NBTRD/Hamby 173 (2009) Barrel/bullets/br4_1_land6.x3p","Hamby173-Br4-B1-L6",FALSE,0,0,FALSE,328.125,2215.625
"Hamby173-Br4-B2-L1","Hamby173","4","2",1,"NBTRD/Hamby 173 (2009) Barrel/bullets/br4_2_land1.x3p","Hamby173-Br4-B1-L4",FALSE,59.375,275,TRUE,392.1875,2307.8125
"Hamby173-Br4-B2-L2","Hamby173","4","2",2,"NBTRD/Hamby 173 (2009) Barrel/bullets/br4_2_land2.x3p","Hamby173-Br4-B1-L5",FALSE,90.625,90.625,FALSE,338.944188610497,2265.625
"Hamby173-Br4-B2-L3","Hamby173","4","2",3,"NBTRD/Hamby 173 (2009) Barrel/bullets/br4_2_land3.x3p","Hamby173-Br4-B1-L6",FALSE,226.5625,100,TRUE,235.9375,2207.8125
"Hamby173-Br4-B2-L4","Hamby173","4","2",4,"NBTRD/Hamby 173 (2009) Barrel/bullets/br4_2_land4.x3p","Hamby173-Br4-B1-L1",FALSE,50,50,FALSE,247.836872591367,2201.5625
"Hamby173-Br4-B2-L5","Hamby173","4","2",5,"NBTRD/Hamby 173 (2009) Barrel/bullets/br4_2_land5.x3p","Hamby173-Br4-B1-L2",FALSE,137.5,25,TRUE,355.801010460912,2278.125
"Hamby173-Br4-B2-L6","Hamby173","4","2",6,"NBTRD/Hamby 173 (2009) Barrel/bullets/br4_2_land6.x3p","Hamby173-Br4-B1-L3",FALSE,25,25,FALSE,364.0625,2273.4375
"Hamby173-Br5-B1-L1","Hamby173","5","1",1,"NBTRD/Hamby 173 (2009) Barrel/bullets/br5_1_land1.x3p","Hamby173-Br5-B1-L1",FALSE,25,25,FALSE,306.25,2245.3125
"Hamby173-Br5-B1-L2","Hamby173","5","1",2,"NBTRD/Hamby 173 (2009) Barrel/bullets/br5_1_land2.x3p","Hamby173-Br5-B1-L2",FALSE,50,50,FALSE,290.625,2264.0625
"Hamby173-Br5-B1-L3","Hamby173","5","1",3,"NBTRD/Hamby 173 (2009) Barrel/bullets/br5_1_land3.x3p","Hamby173-Br5-B1-L3",FALSE,137.5,25,TRUE,154.6875,2102.93573444635
"Hamby173-Br5-B1-L4","Hamby173","5","1",4,"NBTRD/Hamby 173 (2009) Barrel/bullets/br5_1_land4.x3p","Hamby173-Br5-B1-L4",FALSE,37.5,37.5,FALSE,304.6875,2232.84802196112
"Hamby173-Br5-B1-L5","Hamby173","5","1",5,"NBTRD/Hamby 173 (2009) Barrel/bullets/br5_1_land5.x3p","Hamby173-Br5-B1-L5",FALSE,50,50,FALSE,315.625,2239.0625
"Hamby173-Br5-B1-L6","Hamby173","5","1",6,"NBTRD/Hamby 173 (2009) Barrel/bullets/br5_1_land6.x3p","Hamby173-Br5-B1-L6",FALSE,50,50,FALSE,315.625,2284.375
"Hamby173-Br5-B2-L1","Hamby173","5","2",1,"NBTRD/Hamby 173 (2009) Barrel/bullets/br5_2_land1.x3p","Hamby173-Br5-B1-L5",FALSE,137.5,50,TRUE,338.436997979941,2275
"Hamby173-Br5-B2-L2","Hamby173","5","2",2,"NBTRD/Hamby 173 (2009) Barrel/bullets/br5_2_land2.x3p","Hamby173-Br5-B1-L6",FALSE,150,150,FALSE,309.375,2293.75
"Hamby173-Br5-B2-L3","Hamby173","5","2",3,"NBTRD/Hamby 173 (2009) Barrel/bullets/br5_2_land3.x3p","Hamby173-Br5-B1-L1",FALSE,59.375,25,TRUE,15.625,2229.6875
"Hamby173-Br5-B2-L4","Hamby173","5","2",4,"NBTRD/Hamby 173 (2009) Barrel/bullets/br5_2_land4.x3p","Hamby173-Br5-B1-L2",FALSE,25,25,FALSE,390.111007413528,2290.62897234597
"Hamby173-Br5-B2-L5","Hamby173","5","2",5,"NBTRD/Hamby 173 (2009) Barrel/bullets/br5_2_land5.x3p","Hamby173-Br5-B1-L3",FALSE,25,25,FALSE,312.5,2292.1875
"Hamby173-Br5-B2-L6","Hamby173","5","2",6,"NBTRD/Hamby 173 (2009) Barrel/bullets/br5_2_land6.x3p","Hamby173-Br5-B1-L4",FALSE,25,25,FALSE,317.1875,2270.3125
"Hamby173-Br6-B1-L1","Hamby173","6","1",1,"NBTRD/Hamby 173 (2009) Barrel/bullets/br6_1_land1.x3p","Hamby173-Br6-B1-L1",FALSE,125,125,FALSE,301.5625,2259.375
"Hamby173-Br6-B1-L2","Hamby173","6","1",2,"NBTRD/Hamby 173 (2009) Barrel/bullets/br6_1_land2.x3p","Hamby173-Br6-B1-L2",FALSE,59.375,25,TRUE,100,2298.4375
"Hamby173-Br6-B1-L3","Hamby173","6","1",3,"NBTRD/Hamby 173 (2009) Barrel/bullets/br6_1_land3.x3p","Hamby173-Br6-B1-L3",FALSE,0,0,FALSE,306.25,2232.51501479112
"Hamby173-Br6-B1-L4","Hamby173","6","1",4,"NBTRD/Hamby 173 (2009) Barrel/bullets/br6_1_land4.x3p","Hamby173-Br6-B1-L4",FALSE,0,0,FALSE,309.375,2229.04422301001
"Hamby173-Br6-B1-L5","Hamby173","6","1",5,"NBTRD/Hamby 173 (2009) Barrel/bullets/br6_1_land5.x3p","Hamby173-Br6-B1-L5",FALSE,50,50,FALSE,395.3125,2340.625
"Hamby173-Br6-B1-L6","Hamby173","6","1",6,"NBTRD/Hamby 173 (2009) Barrel/bullets/br6_1_land6.x3p","Hamby173-Br6-B1-L6",FALSE,50,50,FALSE,320.3125,2226.5625
"Hamby173-Br6-B2-L1","Hamby173","6","2",1,"NBTRD/Hamby 173 (2009) Barrel/bullets/br6_2_land1.x3p","Hamby173-Br6-B1-L6",FALSE,75,75,FALSE,310.9375,2467.24649570704
"Hamby173-Br6-B2-L2","Hamby173","6","2",2,"NBTRD/Hamby 173 (2009) Barrel/bullets/br6_2_land2.x3p","Hamby173-Br6-B1-L1",FALSE,100,100,FALSE,337.5,2282.21978747484
